,index,Variable,Correlation,Definition
107,NRtg,AST,0.3094167936453764,Net Rating; an estimate of point differential per 100 possessions.
108,NRtg,W,0.8652259386257536,Net Rating; an estimate of point differential per 100 possessions.
109,NRtg,MOV,0.9984064241504336,Net Rating; an estimate of point differential per 100 possessions.
110,NRtg,SRS,0.9917704307492896,Net Rating; an estimate of point differential per 100 possessions.
111,NRtg,ORtg,0.4690510064801246,Net Rating; an estimate of point differential per 100 possessions.
112,NRtg,NRtg,1.0,Net Rating; an estimate of point differential per 100 possessions.
113,NRtg,TS%,0.488402073676871,Net Rating; an estimate of point differential per 100 possessions.
114,NRtg,eFG%,0.4801244383638355,Net Rating; an estimate of point differential per 100 possessions.
115,NRtg,P_W,0.6205524007448163,Net Rating; an estimate of point differential per 100 possessions.
116,NRtg,Pay,0.0401910529463599,Net Rating; an estimate of point differential per 100 possessions.
117,TS%,FG%,0.7838113706259432,"True Shooting Percentage; A measure of shooting efficiency that takes into account 2-point field goals, 3-point field goals, and free throws."
118,TS%,3P%,0.5560466413617231,"True Shooting Percentage; A measure of shooting efficiency that takes into account 2-point field goals, 3-point field goals, and free throws."
119,TS%,2P%,0.8991599726647722,"True Shooting Percentage; A measure of shooting efficiency that takes into account 2-point field goals, 3-point field goals, and free throws."
120,TS%,AST,0.5177927859796656,"True Shooting Percentage; A measure of shooting efficiency that takes into account 2-point field goals, 3-point field goals, and free throws."
121,TS%,W,0.302781456996079,"True Shooting Percentage; A measure of shooting efficiency that takes into account 2-point field goals, 3-point field goals, and free throws."
122,TS%,MOV,0.5045594057230098,"True Shooting Percentage; A measure of shooting efficiency that takes into account 2-point field goals, 3-point field goals, and free throws."
123,TS%,SRS,0.5070729375626746,"True Shooting Percentage; A measure of shooting efficiency that takes into account 2-point field goals, 3-point field goals, and free throws."
124,TS%,ORtg,0.8698906871930354,"True Shooting Percentage; A measure of shooting efficiency that takes into account 2-point field goals, 3-point field goals, and free throws."
125,TS%,NRtg,0.488402073676871,"True Shooting Percentage; A measure of shooting efficiency that takes into account 2-point field goals, 3-point field goals, and free throws."
126,TS%,TS%,1.0,"True Shooting Percentage; A measure of shooting efficiency that takes into account 2-point field goals, 3-point field goals, and free throws."
127,TS%,eFG%,0.9792483627079414,"True Shooting Percentage; A measure of shooting efficiency that takes into account 2-point field goals, 3-point field goals, and free throws."
128,TS%,P_W,0.4262888018578175,"True Shooting Percentage; A measure of shooting efficiency that takes into account 2-point field goals, 3-point field goals, and free throws."
129,TS%,Pay,0.5143981424794625,"True Shooting Percentage; A measure of shooting efficiency that takes into account 2-point field goals, 3-point field goals, and free throws."
130,eFG%,FG%,0.7967447649094672,Effective Field Goal Percentage; This statistic adjusts for the fact that a 3-point field goal is worth one more point than a 2-point field goal.
131,eFG%,3P%,0.5533242404157189,Effective Field Goal Percentage; This statistic adjusts for the fact that a 3-point field goal is worth one more point than a 2-point field goal.
132,eFG%,2P%,0.922730121219516,Effective Field Goal Percentage; This statistic adjusts for the fact that a 3-point field goal is worth one more point than a 2-point field goal.
133,eFG%,AST,0.5832012532160846,Effective Field Goal Percentage; This statistic adjusts for the fact that a 3-point field goal is worth one more point than a 2-point field goal.
134,eFG%,W,0.2865148047413346,Effective Field Goal Percentage; This statistic adjusts for the fact that a 3-point field goal is worth one more point than a 2-point field goal.
135,eFG%,MOV,0.4986087031206674,Effective Field Goal Percentage; This statistic adjusts for the fact that a 3-point field goal is worth one more point than a 2-point field goal.
136,eFG%,SRS,0.4997674573306814,Effective Field Goal Percentage; This statistic adjusts for the fact that a 3-point field goal is worth one more point than a 2-point field goal.
137,eFG%,ORtg,0.8550734544000823,Effective Field Goal Percentage; This statistic adjusts for the fact that a 3-point field goal is worth one more point than a 2-point field goal.
138,eFG%,NRtg,0.4801244383638355,Effective Field Goal Percentage; This statistic adjusts for the fact that a 3-point field goal is worth one more point than a 2-point field goal.
139,eFG%,TS%,0.9792483627079414,Effective Field Goal Percentage; This statistic adjusts for the fact that a 3-point field goal is worth one more point than a 2-point field goal.
140,eFG%,eFG%,1.0,Effective Field Goal Percentage; This statistic adjusts for the fact that a 3-point field goal is worth one more point than a 2-point field goal.
141,eFG%,P_W,0.416287794166233,Effective Field Goal Percentage; This statistic adjusts for the fact that a 3-point field goal is worth one more point than a 2-point field goal.
142,eFG%,Pay,0.5326515951029699,Effective Field Goal Percentage; This statistic adjusts for the fact that a 3-point field goal is worth one more point than a 2-point field goal.
143,P_W,FG%,0.4291328026679639,Playoff wins
144,P_W,3P%,0.3946256986760127,Playoff wins
145,P_W,2P%,0.3298300188007262,Playoff wins
146,P_W,AST,0.3057107845272039,Playoff wins
147,P_W,W,0.6377262029073679,Playoff wins
148,P_W,MOV,0.6200342660772267,Playoff wins
149,P_W,SRS,0.6018238116510675,Playoff wins
150,P_W,ORtg,0.3196883957454191,Playoff wins
151,P_W,NRtg,0.6205524007448163,Playoff wins
152,P_W,TS%,0.4262888018578175,Playoff wins
153,P_W,eFG%,0.416287794166233,Playoff wins
154,P_W,P_W,1.0,Playoff wins
155,P_W,Pay,0.1314894673790183,Playoff wins
156,Pay,FG%,0.3073437046189504,Active team payroll
157,Pay,3P%,0.1371285035071673,Active team payroll
158,Pay,2P%,0.5478660838166604,Active team payroll
159,Pay,AST,0.2474707171301089,Active team payroll
160,Pay,W,-0.0209589492814936,Active team payroll
161,Pay,MOV,0.0535463058193752,Active team payroll
162,Pay,SRS,0.0509608312074028,Active team payroll
163,Pay,ORtg,0.5754455052691232,Active team payroll
164,Pay,NRtg,0.0401910529463599,Active team payroll
165,Pay,TS%,0.5143981424794625,Active team payroll
166,Pay,eFG%,0.5326515951029699,Active team payroll
167,Pay,P_W,0.1314894673790183,Active team payroll
168,Pay,Pay,1.0,Active team payroll
